headline,data
10 reasons why benson is the best,1
you wont believe what this cow did,1
I spent 50 years buried alive,1
I cant believe this happened,1
24 things that'll make any food lover shed tears of joy,1
I got hunted by the FBI,1
click this to win money,1
Steam deck was delayed so I got this,1
He tried to cheat on my game show,1
ios 15 ruined my vacation,1
UK tightens travel testing rules amid omicron concerns,0
Thousands gather to mourn Michigan school shooting victims; parents of suspect in court: What we know,0
"Joel Osteen's Houston church had $600K inside wall from 2014 robbery, plumber claims",0
Forecasted blizzard in Hawaii could be the state's first since 2018,0
One arrested after shooting during parade,0
Photos: Bay Area high school football regional championship games,0
"With taxes going up, cannabis operators threaten 'California Weed Party'",0
"Afghan family begins to rebuild in Bay Area, after three months of life on hold",0
Travel to Hawaii during Covid-19: What you need to know before you go,0
Marin County parents knowingly sent child to school with COVID,0
